# t [s], pressure [Bar], voltage [V]
4.059561984000000123e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.059824127999999810e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.060086272000000385e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.060348416000000071e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.060610560000000646e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.060872704000000333e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.061134848000000019e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.061396992000000594e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.061659136000000281e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.061921279999999967e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.062183424000000542e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.062445568000000229e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.062707711999999916e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.062969856000000490e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.063232000000000177e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.063494143999999864e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.063756288000000438e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.064018432000000125e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.064280575999999812e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.064542720000000386e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.064804864000000073e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.065067008000000648e+00,3.499999999999999964e-04,5.000000000000000104e-03
4.065329152000000335e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.065591296000000021e+00,3.499999999999999964e-04,5.000000000000000104e-03
4.065853440000000596e+00,3.499999999999999964e-04,5.000000000000000104e-03
4.066115584000000283e+00,3.499999999999999964e-04,2.500000000000000052e-03
4.066377727999999969e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.066639872000000544e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.066902016000000231e+00,3.499999999999999964e-04,2.500000000000000052e-03
4.067164159999999917e+00,3.499999999999999964e-04,2.500000000000000052e-03
4.067426304000000492e+00,3.499999999999999964e-04,2.500000000000000052e-03
4.067688448000000179e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.067950591999999865e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.068212736000000440e+00,3.499999999999999964e-04,2.500000000000000052e-03
4.068474880000000127e+00,3.499999999999999964e-04,2.500000000000000052e-03
4.068737023999999813e+00,3.499999999999999964e-04,2.500000000000000052e-03
4.068999168000000388e+00,3.499999999999999964e-04,2.500000000000000052e-03
4.069261312000000075e+00,3.499999999999999964e-04,2.500000000000000052e-03
4.069523456000000650e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.069785600000000336e+00,3.499999999999999964e-04,2.500000000000000052e-03
4.070047744000000023e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.070309888000000598e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.070572032000000284e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.070834175999999971e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.071096320000000546e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.071358464000000232e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.071620607999999919e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.071882752000000494e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.072144896000000180e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.072407039999999867e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.072669184000000442e+00,3.499999999999999964e-04,2.500000000000000052e-03
4.072931328000000128e+00,3.499999999999999964e-04,2.500000000000000052e-03
4.073193471999999815e+00,3.499999999999999964e-04,2.500000000000000052e-03
4.073455616000000390e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.073717760000000077e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.073979904000000651e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.074242048000000338e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.074504192000000025e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.074766336000000599e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.075028480000000286e+00,3.499999999999999964e-04,2.500000000000000052e-03
4.075290623999999973e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.075552768000000547e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.075814912000000234e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.076077055999999921e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.076339200000000496e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.076601344000000182e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.076863487999999869e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.077125632000000444e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.077387776000000130e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.077649919999999817e+00,3.499999999999999964e-04,2.500000000000000052e-03
4.077912064000000392e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.078174208000000078e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.078436352000000653e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.078698496000000340e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.078960640000000026e+00,3.499999999999999964e-04,5.000000000000000104e-03
4.079222784000000601e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.079484928000000288e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.079747071999999974e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.080009216000000549e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.080271360000000236e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.080533503999999922e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.080795648000000497e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.081057792000000184e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.081319935999999871e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.081582080000000445e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.081844224000000132e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.082106367999999819e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.082368512000000393e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.082630656000000080e+00,-3.499999999999999964e-04,2.500000000000000052e-03
4.082892800000000655e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.083154944000000341e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.083417088000000028e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.083679232000000603e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.083941376000000290e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.084203519999999976e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.084465664000000551e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.084727808000000238e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.084989951999999924e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.085252096000000499e+00,0.000000000000000000e+00,2.500000000000000052e-03
4.085514240000000186e+00,3.499999999999999964e-04,5.000000000000000104e-03
4.085776383999999872e+00,3.499999999999999964e-04,5.000000000000000104e-03
4.086038528000000447e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.086300672000000134e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.086562815999999820e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.086824960000000395e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.087087104000000082e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.087349248000000657e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.087611392000000343e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.087873536000000030e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.088135680000000605e+00,-3.499999999999999964e-04,2.500000000000000052e-03
4.088397824000000291e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.088659967999999978e+00,-3.499999999999999964e-04,2.500000000000000052e-03
4.088922112000000553e+00,-3.499999999999999964e-04,2.500000000000000052e-03
4.089184256000000239e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.089446399999999926e+00,-3.499999999999999964e-04,2.500000000000000052e-03
4.089708544000000501e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.089970688000000187e+00,-3.499999999999999964e-04,2.500000000000000052e-03
4.090232831999999874e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.090494976000000449e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.090757120000000135e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.091019263999999822e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.091281408000000397e+00,-3.499999999999999964e-04,2.500000000000000052e-03
4.091543552000000084e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.091805696000000658e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.092067840000000345e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.092329984000000032e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.092592128000000606e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.092854272000000293e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.093116415999999980e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.093378560000000554e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.093640704000000241e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.093902847999999928e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.094164992000000503e+00,-3.499999999999999964e-04,5.000000000000000104e-03
4.094427136000000189e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.094689279999999876e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.094951424000000451e+00,0.000000000000000000e+00,5.000000000000000104e-03
4.095213568000000137e+00,0.000000000000000000e+00,5.000000000000000104e-03
