# t [s], pressure [Bar], voltage [V]
5.747507200000000482e-01,1.011499999999999899e-01,-1.449999999999999900e-01
5.748162560000000809e-01,1.028999999999999915e-01,-1.524999999999999967e-01
5.748817920000000026e-01,1.042999999999999899e-01,-1.575000000000000011e-01
5.749473280000000353e-01,1.053499999999999853e-01,-1.575000000000000011e-01
5.750128640000000679e-01,1.060499999999999776e-01,-1.575000000000000011e-01
5.750783999999999896e-01,1.067499999999999838e-01,-1.575000000000000011e-01
5.751439360000000223e-01,1.074499999999999900e-01,-1.575000000000000011e-01
5.752094720000000549e-01,1.077999999999999931e-01,-1.625000000000000056e-01
5.752750080000000876e-01,1.053499999999999853e-01,-1.700000000000000122e-01
5.753405440000000093e-01,8.889999999999999292e-02,-1.749999999999999889e-01
5.754060800000000420e-01,8.469999999999998364e-02,-1.799999999999999933e-01
5.754716160000000746e-01,8.609999999999999598e-02,-1.799999999999999933e-01
5.755371519999999963e-01,8.854999999999998983e-02,-1.799999999999999933e-01
5.756026880000000290e-01,9.029999999999999138e-02,-1.824999999999999956e-01
5.756682240000000617e-01,9.204999999999999294e-02,-1.849999999999999978e-01
5.757337599999999833e-01,9.379999999999999449e-02,-1.900000000000000022e-01
5.757992960000000160e-01,9.484999999999998987e-02,-1.950000000000000067e-01
5.758648320000000487e-01,9.589999999999999913e-02,-2.000000000000000111e-01
5.759303680000000814e-01,9.659999999999997755e-02,-2.025000000000000133e-01
5.759959040000000030e-01,9.694999999999999452e-02,-2.049999999999999878e-01
5.760614400000000357e-01,9.764999999999998681e-02,-2.074999999999999900e-01
5.761269760000000684e-01,9.764999999999998681e-02,-2.099999999999999922e-01
5.761925119999999900e-01,9.764999999999998681e-02,-2.124999999999999944e-01
5.762580480000000227e-01,8.644999999999999907e-02,-2.149999999999999967e-01
5.763235840000000554e-01,8.119999999999998053e-02,-2.200000000000000011e-01
5.763891200000000881e-01,8.154999999999999749e-02,-2.225000000000000033e-01
5.764546560000000097e-01,8.329999999999998517e-02,-2.250000000000000056e-01
5.765201920000000424e-01,8.469999999999998364e-02,-2.250000000000000056e-01
5.765857280000000751e-01,8.609999999999999598e-02,-2.300000000000000100e-01
5.766512639999999967e-01,8.715000000000000524e-02,-2.300000000000000100e-01
5.767168000000000294e-01,8.819999999999998674e-02,-2.325000000000000122e-01
5.767823360000000621e-01,8.889999999999999292e-02,-2.349999999999999867e-01
5.768478719999999837e-01,8.924999999999998213e-02,-2.374999999999999889e-01
5.769134080000000164e-01,8.994999999999998830e-02,-2.374999999999999889e-01
5.769789440000000491e-01,9.029999999999999138e-02,-2.374999999999999889e-01
5.770444800000000818e-01,9.029999999999999138e-02,-2.399999999999999911e-01
5.771100160000000034e-01,9.064999999999998059e-02,-2.424999999999999933e-01
5.771755520000000361e-01,8.049999999999998823e-02,-2.449999999999999956e-01
5.772410880000000688e-01,6.999999999999999278e-02,-2.449999999999999956e-01
5.773066239999999905e-01,6.894999999999999740e-02,-2.449999999999999956e-01
5.773721600000000231e-01,7.069999999999999896e-02,-2.449999999999999956e-01
5.774376960000000558e-01,7.279999999999998972e-02,-2.424999999999999933e-01
5.775032320000000885e-01,7.420000000000000207e-02,-2.449999999999999956e-01
5.775687680000000102e-01,7.560000000000000053e-02,-2.449999999999999956e-01
5.776343040000000428e-01,7.664999999999999591e-02,-2.449999999999999956e-01
5.776998400000000755e-01,7.770000000000000517e-02,-2.474999999999999978e-01
5.777653759999999972e-01,7.839999999999999747e-02,-2.449999999999999956e-01
5.778309120000000298e-01,7.874999999999998668e-02,-2.449999999999999956e-01
5.778964480000000625e-01,7.909999999999998976e-02,-2.449999999999999956e-01
5.779619839999999842e-01,7.979999999999998206e-02,-2.449999999999999956e-01
5.780275200000000169e-01,8.014999999999999902e-02,-2.449999999999999956e-01
5.780930560000000495e-01,7.454999999999999127e-02,-2.449999999999999956e-01
5.781585920000000822e-01,6.019999999999998963e-02,-2.449999999999999956e-01
5.782241280000000039e-01,5.809999999999999193e-02,-2.449999999999999956e-01
5.782896640000000366e-01,5.914999999999999425e-02,-2.449999999999999956e-01
5.783552000000000692e-01,6.089999999999999580e-02,-2.424999999999999933e-01
5.784207359999999909e-01,6.264999999999999736e-02,-2.424999999999999933e-01
5.784862720000000236e-01,6.404999999999999583e-02,-2.424999999999999933e-01
5.785518080000000563e-01,6.509999999999999121e-02,-2.399999999999999911e-01
5.786173440000000889e-01,6.614999999999998659e-02,-2.399999999999999911e-01
5.786828800000000106e-01,6.684999999999999276e-02,-2.399999999999999911e-01
5.787484160000000433e-01,6.754999999999998506e-02,-2.399999999999999911e-01
5.788139520000000759e-01,6.824999999999999123e-02,-2.399999999999999911e-01
5.788794879999999976e-01,6.859999999999999432e-02,-2.399999999999999911e-01
5.789450240000000303e-01,6.894999999999999740e-02,-2.424999999999999933e-01
5.790105600000000630e-01,6.754999999999998506e-02,-2.449999999999999956e-01
5.790760959999999846e-01,5.494999999999999885e-02,-2.424999999999999933e-01
5.791416320000000173e-01,5.109999999999999265e-02,-2.399999999999999911e-01
5.792071680000000500e-01,5.179999999999999188e-02,-2.399999999999999911e-01
5.792727040000000827e-01,5.319999999999999729e-02,-2.424999999999999933e-01
5.793382400000000043e-01,5.424999999999999267e-02,-2.449999999999999956e-01
5.794037760000000370e-01,5.564999999999999808e-02,-2.449999999999999956e-01
5.794693120000000697e-01,5.670000000000000040e-02,-2.449999999999999956e-01
5.795348479999999913e-01,5.739999999999999269e-02,-2.449999999999999956e-01
5.796003840000000240e-01,5.809999999999999193e-02,-2.449999999999999956e-01
5.796659200000000567e-01,5.879999999999999116e-02,-2.474999999999999978e-01
5.797314560000000894e-01,5.914999999999999425e-02,-2.449999999999999956e-01
5.797969920000000110e-01,5.949999999999999040e-02,-2.449999999999999956e-01
5.798625280000000437e-01,5.984999999999999348e-02,-2.474999999999999978e-01
5.799280640000000764e-01,5.984999999999999348e-02,-2.474999999999999978e-01
5.799935999999999980e-01,4.969999999999999418e-02,-2.474999999999999978e-01
5.800591360000000307e-01,4.444999999999999646e-02,-2.474999999999999978e-01
5.801246720000000634e-01,4.409999999999999337e-02,-2.500000000000000000e-01
5.801902079999999851e-01,4.479999999999999954e-02,-2.500000000000000000e-01
5.802557440000000177e-01,4.584999999999999493e-02,-2.525000000000000022e-01
5.803212800000000504e-01,4.689999999999999725e-02,-2.525000000000000022e-01
5.803868160000000831e-01,4.794999999999999957e-02,-2.525000000000000022e-01
5.804523520000000048e-01,4.829999999999998878e-02,-2.525000000000000022e-01
5.805178880000000374e-01,4.899999999999999495e-02,-2.525000000000000022e-01
5.805834240000000701e-01,4.969999999999999418e-02,-2.550000000000000044e-01
5.806489599999999918e-01,5.004999999999999033e-02,-2.550000000000000044e-01
5.807144960000000244e-01,5.039999999999999342e-02,-2.525000000000000022e-01
5.807800320000000571e-01,5.039999999999999342e-02,-2.550000000000000044e-01
5.808455680000000898e-01,5.074999999999999650e-02,-2.550000000000000044e-01
5.809111040000000115e-01,4.444999999999999646e-02,-2.525000000000000022e-01
5.809766400000000441e-01,3.674999999999999795e-02,-2.525000000000000022e-01
5.810421760000000768e-01,3.569999999999999563e-02,-2.525000000000000022e-01
5.811077119999999985e-01,3.604999999999999871e-02,-2.525000000000000022e-01
5.811732480000000312e-01,3.710000000000000103e-02,-2.525000000000000022e-01
5.812387840000000638e-01,3.780000000000000027e-02,-2.525000000000000022e-01
5.813043199999999855e-01,3.849999999999999950e-02,-2.500000000000000000e-01
5.813698560000000182e-01,3.919999999999999873e-02,-2.474999999999999978e-01
5.814353920000000508e-01,3.954999999999999488e-02,-2.474999999999999978e-01
5.815009280000000835e-01,4.024999999999999412e-02,-2.474999999999999978e-01
5.815664640000000052e-01,4.059999999999999026e-02,-2.474999999999999978e-01
5.816320000000000379e-01,4.094999999999999335e-02,-2.474999999999999978e-01
5.816975360000000705e-01,4.094999999999999335e-02,-2.449999999999999956e-01
